"ROUTE_ID","ROUTE_NM","ROUTE_TY","DSTNC"
"100100427","4319","지선",33.3
"103900013","성동14","마을",3.2
"103000004","한강02","순환",
"100100098","651","간선",51.5
"100100025","146","간선",57.2
"100100159","1144","지선",19.89
"100900002","종로13","마을",7.5
"100100284","5630","지선",28.42
"100100226","3414","지선",36.6
"100100533","6017","공항",156
"115900002","강서06","마을",12.3
"117900003","금천03","마을",7.2
"121900012","서초15","마을",10
"117900006","금천02","마을",10.4
"100100268","5536","지선",27.6
"112000003","8773출근","지선",26.1
"108900004","강북09","마을",17.5
"103900003","성동01","마을",6.8
"210000109","99부천","경기",
"100100416","6005","공항",149
"100100249","5413","지선",36.13
"100100250","5511","지선",25.4
"120000003","8661","지선",11
"100100147","1131","지선",16.43
"100100591","N30","",47.5
"100100513","6100","공항",220
"100100383","8541","지선",28.86
"116900018","양천04","마을",13.3
"100100360","7730","지선",30.6
"100100198","2221","지선",26.4
"102900002","용산02","마을",9.2
"119900008","동작19","마을",5.5
"113000002","452","간선",62.74
"107900005","성북04","마을",7.5
"100100259","5523","지선",12.2
"100100079","504","간선",44.04
"100100257","5522A난곡","지선",20
"119900023","동작05-1","마을",12.9
"105900006","동대문03","마을",7.4
"100000017","TOUR11","관광",25
"100100298","6616","지선",27.19
"111000022","707","간선",78.75
"100100291","6511","지선",37.5
"104900005","광진01","마을",14
"104900004","광진05","마을",9
"110900003","노원05","마을",8.3
"110900009","노원02","마을",14.5
"112900004","서대문03","마을",8.7
"117900002","금천04","마을",9.8
"113900010","마포07","마을",7
"115000009","N6002","공항",163
"110000004","8146","간선",57.2
"207000105","G6000N의정부","경기",
"207000106","G6100N의정부","경기",
"234001738","500-2N광주","경기",
"228000418","1101N용인","경기",
"235000116","G1300N양주","경기",
"119900016","동작17","마을",14
"216000096","3100N안산","경기",
"100100593","N13","",75
"122000006","N6703","공항",197
"104000011","N31","",73.7
"118900006","영등포05","마을",13.2
"100100588","N62","",72.3
"100100057","360","간선",55.7
"107000007","1112","지선",22.8
"236000237","3100N포천","경기",
"100100222","3316","지선",18.7
"118900007","영등포08","마을",3.7
"114900002","양천02","마을",10.8
"228000429","5001A용인","경기",
"100100188","2013","지선",21.2
"228000430","5001-1A용인","경기",
"228000431","5003A용인","경기",
"228000433","1560B용인","경기",
"100100209","2412","지선",34
"100100454","361","간선",54.2
"100100133","1113","지선",13.9
"100100352","7720","지선",27.76
"100100142","1126","지선",18.913
"111900007","은평06","마을",4.8
"100100016","110A고려대","간선",36.9
"100100015","110B국민대","간선",36.8
"100100478","3317","지선",20.1
"100100001","01A","순환",16
"100100192","2113","지선",19.1
"106000006","8442퇴근","지선",12.2
"100100607","9711","광역",90.5
"239000135","1330-3가평","경기",
"222000178","8002-1남양주","경기",
"222000179","M2341남양주","경기",
"100100152","1137","지선",24
"100100453","6613","지선",31
"100100153","1138","지선",17.7
"113900002","마포03","마을",7.8
"100100573","6702","공항",168
"100100068","420","간선",46.2
"112000005","7716","지선",15.7
"119900005","서초16","마을",7
"104000010","2416","지선",35.7
"207000109","1205의정부","경기",
"116900014","구로02","마을",5.1
"110900007","노원08","마을",8
"100100010","105","간선",38.77
"100100255","5519","지선",7.7
"231000139","4402안성","경기",
"168000047","86인천","인천",
"113900008","마포10","마을",5.5
"100100252","5515","지선",10.8
"102000001","서울07출근","간선",13
"100100186","2012","지선",39
"100100266","5634","지선",28.47
"113000004","9401-1","광역",56
"119900002","서초06","마을",7
"111000025","서울04퇴근","간선",13
"100100449","7013A","지선",39
"100100232","3422","지선",39.4
"100100274","5617","지선",10.53
"100100201","2224","지선",17.3
"121900013","서초13","마을",18.4
"112900002","서대문12","마을",4.5
"119900003","서초05","마을",5.7
"121900014","서초22","마을",3.5
"100100598","2115","지선",36.7
"115000014","6611","지선",14.2
"104000009","111","간선",57.1
"100100304","6627","지선",28.34
"100100278","5621","지선",6.45
"112900008","서대문14","마을",4
"124000036","345","간선",49
"100100063","402","간선",56.21
"115900005","강서05","마을",18.2
"100100130","1017","지선",23.95
"100000020","청와대A01","순환",2.6
"100100177","1218","지선",31.7
"101000006","상암A21","간선",
"213000029","200광명","경기",
"124000038","342","간선",47
"100100220","3314","지선",29.4
"204000007","357성남","경기",
"100100018","130","간선",48.7
"100100437","771","간선",53
"107000004","8003","지선",6.7
"108900008","강북05","마을",8.4
"100100156","1141","지선",15.5
"109900011","노원14","마을",17
"103900004","성동02","마을",13
"100100584","6010","공항",137
"221000040","680구리","경기",
"119900015","동작18","마을",13
"100100289","6211","지선",52.68
"104000014","040","간선",38.5
"100100093","640","간선",38.3
"100100090","605","간선",57.3
"100100179","1222","지선",18.6
"103000005","한강03","순환",
"115000006","6019","공항",
"100100329","6657","지선",19.09
"233000374","P9602(퇴근)양주","경기",
"124000014","6007","공항",145
"100100576","6516","지선",50
"100100587","705","간선",38
"110900005","노원03","마을",10.9
"100100602","6640B","지선",20.7
"100100599","2311","지선",45.5
"100000027","서대문A01","간선",5.9
"100100609","4425","지선",48
"100100302","6624","지선",24.1
"100100223","3411","지선",34.6
"100100538","6018","공항",135
"100100277","5620","지선",27.7
"100100316","6642","지선",30.6
"117000002","N51","",77.4
"100100085","600","간선",38
"119900006","동작10","마을",7.8
"104000006","242","간선",47
"100100083","540","간선",52
"100100096","643","간선",45
"100100150","1135","지선",17.6
"113900011","마포05","마을",2.1
"124900003","강동02","마을",28
"100100053","303","간선",54.59
"106900001","중랑01","마을",3.6
"122000012","6100-1","공항",195
"100100572","6703","공항",168
"100100320","6647","지선",23.7
"100100151","1136","지선",10.8
"100100158","1143","지선",25.06
"113900012","마포06","마을",7.5
"102900001","마포01","마을",5.9
"100100021","142","간선",59.4
"100100171","1164","지선",8.31
"101900003","동작A01","간선",3.24
"111900010","은평10","마을",4.4
"100100413","6002","공항",161
"119900009","동작08","마을",9.1
"100100419","6012","공항",141
"111000010","7734","지선",32.5
"112900003","서대문07","마을",4.6
"100100309","6632","지선",34.96
"100100295","5611","지선",12
"100100579","3420","지선",48.5
"121900005","서초03","마을",11.2
"114000003","8671","지선",17.5
"121900009","서초01","마을",4.3
"122000002","6102","공항",190
"223000150","5104오산","경기",
"106900002","중랑02","마을",7.1
"100100610","N15","",76
"100100586","N26","",72.9
"116900004","구로11","마을",14.8
"234001760","119-1광주","경기",
"100100313","6638","지선",25.64
"115900001","강서04","마을",7.8
"111000024","서울03퇴근","간선",37
"100100019","140","간선",58.1
"116900002","구로12","마을",2.8
"115000011","서울02출근","간선",12
"124000016","N6000","공항",157
"100100507","6009","공항",187.6
"100100183","1226","지선",8.72
"168000060","M6660인천","인천",
"227000053","9302-1하남","경기",
"100100578","3321","지선",24.3
"103900002","성동08","마을",10
"116000002","6615","지선",19.1
"107900010","성북14-1","마을",6.4
"110900004","노원01","마을",2.6
"100100023","144","간선",47.2
"208000019","9안양","경기",
"111000019","2236","지선",27
"105900004","성북20","마을",10.2
"100100564","320","간선",39.2
"107900003","성북02","마을",6.6
"233000270","4108화성","경기",
"204000067","341성남","경기",
"207000102","G6100의정부","경기",
"208000066","G9633안양","경기",
